title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
The Box,Thriller Science Fiction,Cameron Diaz James Marsden Frank Langella Michael Zegen James Rebhorn,Richard Kelly,5.4,21.606001,"Norma and Arthur Lewis, a suburban couple with a young child, receive a simple wooden box as a gift, which bears fatal and irrevocable consequences. A mysterious stranger delivers the message that the box promises to bestow upon its owner $1 million with the press of a button. However pressing this button will simultaneously cause the death of another human being somewhere in the world; someone they don't know. With just 24 hours to have the box in their possession, Norma and Arthur find themselves in the cross-hairs of a startling moral dilemma and must face the true nature of their humanity.",the box,norma arthur lewis suburban couple young child receive simple wooden box gift bear fatal irrevocable consequence mysterious stranger delivers message box promise bestow upon owner 1 million press button however pressing button simultaneously cause death another human somewhere world someone know 24 hour box possession norma arthur find cross hair startling moral dilemma must face true nature humanity,cameron diaz james marsden frank langella michael zegen james rebhorn,richard kelly
The Ruins,Drama Horror,Shawn Ashmore Jonathan Tucker Jena Malone Laura Ramsey Joe Anderson,Carter Smith,5.6,13.715715,"A group of friends whose leisurely Mexican holiday takes a turn for the worse when they, along with a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins",the ruins,group friend whose leisurely mexican holiday take turn worse along fellow tourist embark remote archaeological dig jungle something evil life among ruin,shawn ashmore jonathan tucker jena malone laura ramsey joe anderson,carter smith
The Next Best Thing,Comedy,Madonna Rupert Everett Benjamin Bratt Malcolm Stumpf Josef Sommer,John Schlesinger,4.3,3.707511,"A comedy-drama about best friends - one a straight woman, Abbie, the other a gay man, Robert - who decide to have a child together. Five years later, Abbie falls in love with a straight man and wants to move away with her and Robert's little boy Sam, and a nasty custody battle ensues.",the next best thing,comedy drama best friend one straight woman abbie gay man robert decide child together five year later abbie fall love straight man want move away robert little boy sam nasty custody battle ensues,madonna rupert everett benjamin bratt malcolm stumpf josef sommer,john schlesinger
My Soul to Take,Drama Horror Mystery Thriller,Max Thieriot John Magaro Denzel Whitaker Zena Grey Nick Lashaway,Wes Craven,5.2,7.001176,A serial killer returns to his hometown to stalk seven children who share the same birthday as the date he was allegedly put to rest.,my soul to take,serial killer return hometown stalk seven child share birthday date allegedly put rest,max thieriot john magaro denzel whitaker zena grey nick lashaway,wes craven
The Girl Next Door,Comedy,Emile Hirsch Elisha Cuthbert Timothy Olyphant James Remar Chris Marquette,Luke Greenfield,6.3,39.784026,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",the girl next door,exceptionally ambitious high schooler matthew aspiration career politics fall love gorgeous 19 year old neighbor danielle matthew bright future jeopardized find danielle porn star danielle past catch matthew love force evaluate goal,emile hirsch elisha cuthbert timothy olyphant james remar chris marquette,luke greenfield
Maximum Risk,Action Adventure Thriller,Jean-Claude Van Damme Natasha Henstridge Jean-Hugues Anglade Zach Grenier Paul Ben-Victor,Ringo Lam,5.2,10.115011,"A policeman takes his twin brother's place and inherits his problems and a beautiful girlfriend. He is forced to kickbox his way from France to the U.S. and back while playing footsie with the FBI and Russian mafia. Not just muscles with a badge, the policeman must find the answers to some tough questions, none harder than what the heck is an accordian player doing in a sauna.",maximum risk,policeman take twin brother place inherits problem beautiful girlfriend forced kickbox way france u back playing footsie fbi russian mafia muscle badge policeman must find answer tough question none harder heck accordian player sauna,jean claude van damme natasha henstridge jean hugues anglade zach grenier paul ben victor,ringo lam
Stealing Harvard,Action Comedy Drama,Jason Lee Tom Green Leslie Mann Dennis Farina John C. McGinley,Bruce McCulloch,4.4,7.321181,"John and his girlfriend have vowed to marry once they save $30,000 for their dream house. But the minute they achieve their financial goal, John finds out his niece has been accepted at Harvard, and he's reminded of his promise to pay for her tuition (nearly $30,000). John's friend Duff convinces him to turn to petty crime to make the payment ï¿½ï¿½ï¿½ but Duff's hare-brained schemes spin quickly out of co",stealing harvard,john girlfriend vowed marry save 30 000 dream house minute achieve financial goal john find niece accepted harvard reminded promise pay tuition nearly 30 000 john friend duff convinces turn petty crime make payment duff hare brained scheme spin quickly co,jason lee tom green leslie mann dennis farina john c  mcginley,bruce mcculloch
Legend,Crime Thriller,Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton,Brian Helgeland,6.7,32.854557,"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",legend,suave charming volatile reggie kray unstable twin brother ronnie start leave mark london underworld 1960s using violence get want sibling orchestrate robbery murder running nightclub protection racket police detective leonard nipper read hot heel brother continue rapid rise power achieve tabloid notoriety,tom hardy emily browning christopher eccleston david thewlis taron egerton,brian helgeland
Hot Rod,Action Comedy,Andy Samberg Isla Fisher Bill Hader Sissy Spacek Danny McBride,Akiva Schaffer,6.3,6.309587,"For Rod Kimball, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",hot rod,rod kimball performing stunt way life even though rather accident prone poor rod cannot even get respect stepfather frank beat weekly sparring match frank fall ill rod devise outrageous stunt yet raise money frank operation rod kick frank butt,andy samberg isla fisher bill hader sissy spacek danny mcbride,akiva schaffer
Shark Night,Horror Thriller,Sara Paxton Chris Carmack Joel David Moore Chris Zylka Dustin Milligan,David R. Ellis,4.9,8.363702,A weekend at a lake house in the Louisiana Gulf turns into a nightmare for seven vacationers as they are subjected to fresh-water shark attacks.,shark night,weekend lake house louisiana gulf turn nightmare seven vacationer subjected fresh water shark attack,sara paxton chris carmack joel david moore chris zylka dustin milligan,david r  ellis
Angela's Ashes,Drama,Emily Watson Robert Carlyle Joe Breen Michael Legge Ciaran Owens,Alan Parker,7.0,4.88794,"Based on the best selling autobiography by Irish expat Frank McCourt, Angela's Ashes follows the experiences of young Frankie and his family as they try against all odds to escape the poverty endemic in the slums of pre-war Limerick. The film opens with the family in Brooklyn, but following the death of one of Frankie's siblings, they return home, only to find the situation there even worse. Prejudice against Frankie's Northern Irish father makes his search for employment in the Republic difficult despite his having fought for the IRA, and when he does find money, he spends the money on drink.",angela s ashes,based best selling autobiography irish expat frank mccourt angela ash follows experience young frankie family try odds escape poverty endemic slum pre war limerick film open family brooklyn following death one frankie sibling return home find situation even worse prejudice frankie northern irish father make search employment republic difficult despite fought ira find money spends money drink,emily watson robert carlyle joe breen michael legge ciaran owens,alan parker
Draft Day,Drama,Kevin Costner Jennifer Garner Tom Welling Sam Elliott Terry Crews,Ivan Reitman,6.5,14.17009,"At the NFL Draft, general manager Sonny Weaver has the opportunity to rebuild his team when he trades for the number one pick. He must decide what he's willing to sacrifice on a life-changing day for a few hundred young men with NFL dreams.",draft day,nfl draft general manager sonny weaver opportunity rebuild team trade number one pick must decide willing sacrifice life changing day hundred young men nfl dream,kevin costner jennifer garner tom welling sam elliott terry crews,ivan reitman
Lifeforce,Fantasy Horror Science Fiction Thriller,Steve Railsback Peter Firth Frank Finlay Mathilda May Patrick Stewart,Tobe Hooper,6.2,12.18362,A space shuttle mission investigating Halley's Comet brings back a malevolent race of space vampires who transform most of London's population into zombies. The only survivor of the expedition and British authorities attempt to capture a mysterious but beautiful alien woman who appears responsible.,lifeforce,space shuttle mission investigating halley comet brings back malevolent race space vampire transform london population zombie survivor expedition british authority attempt capture mysterious beautiful alien woman appears responsible,steve railsback peter firth frank finlay mathilda may patrick stewart,tobe hooper
The Conspirator,Crime Drama History,Evan Rachel Wood James McAvoy Kevin Kline Robin Wright Alexis Bledel,Robert Redford,6.2,9.169271,"Mary Surratt is the lone female charged as a co-conspirator in the assassination trial of Abraham Lincoln. As the whole nation turns against her, she is forced to rely on her reluctant lawyer to uncover the truth and save her life.",the conspirator,mary surratt lone female charged co conspirator assassination trial abraham lincoln whole nation turn forced rely reluctant lawyer uncover truth save life,evan rachel wood james mcavoy kevin kline robin wright alexis bledel,robert redford
Lords of Dogtown,Drama,Emile Hirsch Victor Rasuk Rebecca De Mornay John Robinson Michael Angarano,Catherine Hardwicke,7.0,8.127728,"The film follows the surf and skateboarding trends that originated in Venice, California during the 1970s.",lords of dogtown,film follows surf skateboarding trend originated venice california 1970s,emile hirsch victor rasuk rebecca de mornay john robinson michael angarano,catherine hardwicke
The 33,Drama History,Antonio Banderas Rodrigo Santoro Juliette Binoche James Brolin Lou Diamond Phillips,Patricia Riggen,6.0,10.699952,"Based on a true story about the collapse at the mine in San Jose, Chile that  left 33 miners isolated underground for 69 days.",the 33,based true story collapse mine san jose chile left 33 miner isolated underground 69 day,antonio banderas rodrigo santoro juliette binoche james brolin lou diamond phillips,patricia riggen
Big Trouble in Little China,Action Adventure Comedy Fantasy,Kurt Russell Kim Cattrall Dennis Dun James Hong Victor Wong,John Carpenter,7.1,29.796394,"When trucker, Jack Burton agreed to take his friend, Wang Chi to pick up his fiancee at the airport, he never expected to get involved in a supernatural battle between good and evil. Wang's fiancee has emerald green eyes, which make her a perfect target for immortal sorcerer, Lo Pan and his three invincible cronies. Lo Pan must marry a girl with green eyes so he can regain his physical form.",big trouble in little china,trucker jack burton agreed take friend wang chi pick fiancee airport never expected get involved supernatural battle good evil wang fiancee emerald green eye make perfect target immortal sorcerer lo pan three invincible crony lo pan must marry girl green eye regain physical form,kurt russell kim cattrall dennis dun james hong victor wong,john carpenter
Fly Me to the Moon,Comedy Romance,Diane Kruger Dany Boon Alice Pol Robert Plagnol Jonathan Cohen,Pascal Chaumeil,5.6,11.60921,"Successful woman in love tries to break her family curse of every first marriage ending in divorce, by dashing to the alter with a random stranger before marrying her boyfriend.",fly me to the moon,successful woman love try break family curse every first marriage ending divorce dashing alter random stranger marrying boyfriend,diane kruger dany boon alice pol robert plagnol jonathan cohen,pascal chaumeil
Warrior,Action Drama,Tom Hardy Jennifer Morrison Nick Nolte Joel Edgerton Frank Grillo,Gavin O'Connor,7.7,51.915025,"The inspirational story of an estranged family that finds redemption in the unlikeliest of placesï¿½ï¿½ï¿½the MMA ring. Tommy Riordan (Tom Hardy), an ex-marine with a tragic past, returns home and enlists his father (Nick Nolte), a recovering alcoholic and former wrestling coach, to train him for ï¿½ï¿½ï¿½Spartaï¿½ï¿½ï¿½, the biggest MMA tournament ever held. But when Tommyï¿½ï¿½ï¿½s underdog brother, Brendan (Joel Edgerton), fights his way into the tournament, the two brothers must finally confront each other and the forces that pulled them apart. What ensues is the most gut-wrenching, soul-stirring, and unforgettabl",warrior,inspirational story estranged family find redemption unlikeliest place mma ring tommy riordan tom hardy ex marine tragic past return home enlists father nick nolte recovering alcoholic former wrestling coach train sparta biggest mma tournament ever held tommy underdog brother brendan joel edgerton fight way tournament two brother must finally confront force pulled apart ensues gut wrenching soul stirring unforgettabl,tom hardy jennifer morrison nick nolte joel edgerton frank grillo,gavin o connor
Michael Collins,Drama Thriller,Liam Neeson Aidan Quinn Stephen Rea Alan Rickman Julia Roberts,Neil Jordan,6.7,8.314624,"Michael Collins plays a crucial role in the establishment of the Irish Free State in the 1920s, but becomes vilified by those hoping to create a completely independent Irish republic.",michael collins,michael collins play crucial role establishment irish free state 1920s becomes vilified hoping create completely independent irish republic,liam neeson aidan quinn stephen rea alan rickman julia roberts,neil jordan
Gettysburg,War Drama History,Jeff Daniels Tom Berenger Martin Sheen Sam Elliott Stephen Lang,Ronald F. Maxwell,6.6,5.529035,"Summer 1863. The Confederacy pushes north into Pennsylvania. Union divisions converge to face them. The two great armies clash at Gettysburg, site of a theology school. For three days, through such legendary actions as Little Round Top and Pickett's Charge, the fate of ""one nation, indivisible"" hangs in the balance.",gettysburg,summer 1863 confederacy push north pennsylvania union division converge face two great army clash gettysburg site theology school three day legendary action little round top pickett charge fate one nation indivisible hang balance,jeff daniels tom berenger martin sheen sam elliott stephen lang,ronald f  maxwell
Stop-Loss,Drama War,Ryan Phillippe Abbie Cornish Joseph Gordon-Levitt Channing Tatum Josef Sommer,Kimberly Peirce,6.1,4.002579,"A veteran soldier returns from his completed tour of duty in Iraq, only to find his life turned upside down when he is arbitrarily ordered to return to field duty by the Army.",stop loss,veteran soldier return completed tour duty iraq find life turned upside arbitrarily ordered return field duty army,ryan phillippe abbie cornish joseph gordon levitt channing tatum josef sommer,kimberly peirce
Abandon,Drama Mystery Thriller,Katie Holmes Benjamin Bratt Charlie Hunnam Zooey Deschanel Fred Ward,Stephen Gaghan,4.6,3.888776,"A psychological thriller about a senior at one of America's most prestigious universities. Under enormous pressure to complete her thesis and earn a top job at one of the world's most competitive consulting firms, Katie is still coping with the sudden unexplained disappearance of her first love two years prior. As the investigation continues, Katie is forced to choose between past passions and new possibilities, even as new facts are uncovered.",abandon,psychological thriller senior one america prestigious university enormous pressure complete thesis earn top job one world competitive consulting firm katie still coping sudden unexplained disappearance first love two year prior investigation continues katie forced choose past passion new possibility even new fact uncovered,katie holmes benjamin bratt charlie hunnam zooey deschanel fred ward,stephen gaghan
Brokedown Palace,Drama Thriller,Claire Danes Kate Beckinsale Bill Pullman Jacqueline Kim Lou Diamond Phillips,Jonathan Kaplan,6.2,7.296459,"Best friends Alice and Darlene take a trip to Thailand after graduating high school. In Thailand, they meet a captivating Australian man, who calls himself Nick Parks. Darlene is particularly smitten with Nick and convinces Alice to take Nick up on his offer to treat the two of them to what amounts to a day trip to Hong Kong. In the airport, the girls are seized by the police and shocked to discover that one of their bags contains heroin.",brokedown palace,best friend alice darlene take trip thailand graduating high school thailand meet captivating australian man call nick park darlene particularly smitten nick convinces alice take nick offer treat two amount day trip hong kong airport girl seized police shocked discover one bag contains heroin,claire danes kate beckinsale bill pullman jacqueline kim lou diamond phillips,jonathan kaplan
The Possession,Horror Thriller,Jeffrey Dean Morgan Natasha Calis Madison Davenport Kyra Sedgwick Rob LaBelle,Ole Bornedal,5.8,21.680424,"A young girl buys an antique box at a yard sale, unaware that inside the collectible lives a malicious ancient spirit. The girl's father teams with his ex-wife to find a way to end the curse upon their child.",the possession,young girl buy antique box yard sale unaware inside collectible life malicious ancient spirit girl father team ex wife find way end curse upon child,jeffrey dean morgan natasha calis madison davenport kyra sedgwick rob labelle,ole bornedal
Mrs. Winterbourne,Comedy Romance Drama,Shirley MacLaine Ricki Lake Brendan Fraser Jane Krakowski Loren Dean,Richard Benjamin,5.3,7.946769,"Connie Doyle is eighteen and pregnant her boyfriend has kicked her out. She accidentaly ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The train wrecks and she wakes up in the hosptial to find out that it's been assumed that she's Patricia. Hugh's mother takes her in and she falls in love with Hugh's brother Bill. Just when she thinks everything is going her way, her ex-boyfriend shows up.",mrs  winterbourne,connie doyle eighteen pregnant boyfriend kicked accidentaly end train meet hugh winterbourne wife patricia pregnant train wreck wake hosptial find assumed patricia hugh mother take fall love hugh brother bill think everything going way ex boyfriend show,shirley maclaine ricki lake brendan fraser jane krakowski loren dean,richard benjamin
Straw Dogs,Drama Thriller,James Marsden Kate Bosworth Alexander Skarsgård Dominic Purcell Laz Alonso,Rod Lurie,5.5,7.473455,"L.A. screenwriter David Sumner relocates with his wife, Amy, to her hometown in the deep South. There, while tensions build between them, a brewing conflict with locals becomes a threat to them both.",straw dogs,l screenwriter david sumner relocates wife amy hometown deep south tension build brewing conflict local becomes threat,james marsden kate bosworth alexander skarsg rd dominic purcell laz alonso,rod lurie
The Hoax,Comedy Drama,Richard Gere Alfred Molina Marcia Gay Harden Hope Davis Julie Delpy,Lasse Hallström,6.4,5.073536,"In what would cause a fantastic media frenzy, Clifford Irving sells his bogus biography of Howard Hughes to a premiere publishing house in the early 1970s.",the hoax,would cause fantastic medium frenzy clifford irving sell bogus biography howard hughes premiere publishing house early 1970s,richard gere alfred molina marcia gay harden hope davis julie delpy,lasse hallstr m
Stone Cold,Action Crime Thriller,Brian Bosworth Lance Henriksen William Forsythe Arabella Holzbog Sam McMurray,Craig R. Baxley,5.7,3.623002,"Joe Huff (Brian Bosworth) is a tough, loner cop with a flair for infiltrating dangerous biker gangs. The FBI blackmail Joe into an undercover operation that entails infiltrating ""The Brotherhood"" - a powerful Mississippi biker gang linked in the murder of government officials as well as dealing drugs with the mafia.",stone cold,joe huff brian bosworth tough loner cop flair infiltrating dangerous biker gang fbi blackmail joe undercover operation entail infiltrating brotherhood powerful mississippi biker gang linked murder government official well dealing drug mafia,brian bosworth lance henriksen william forsythe arabella holzbog sam mcmurray,craig r  baxley
The Road,Adventure Drama,Viggo Mortensen Kodi Smit-McPhee Charlize Theron Robert Duvall Guy Pearce,John Hillcoat,6.8,41.075532,"A father and his son walk alone through burned America. Nothing moves in the ravaged landscape save the ash on the wind and water. It is cold enough to crack stones, and, when the snow falls it is gray. The sky is dark. Their destination is the warmer south, although they don't know what, if anything, awaits them there.",the road,father son walk alone burned america nothing move ravaged landscape save ash wind water cold enough crack stone snow fall gray sky dark destination warmer south although know anything awaits,viggo mortensen kodi smit mcphee charlize theron robert duvall guy pearce,john hillcoat
Sheena,Action Adventure Comedy Fantasy Science Fiction,Tanya Roberts Ted Wass Donovan Scott Elizabeth of Toro France Zobda,John Guillermin,5.0,4.020194,"Sheena's white parents are killed while on Safari. She is raised by the mystical witch woman of an African tribe. When her foster mother is framed for the murder of a political leader, Sheena and a newsman, Vic Casey are forced to flee while pursued by the mercenaries hired by the real killer, who hopes to assume power. Sheena's ability to talk to the animals and knowledge of jungle lore give them a chance against the high tech weapons of the mercenaries.",sheena,sheena white parent killed safari raised mystical witch woman african tribe foster mother framed murder political leader sheena newsman vic casey forced flee pursued mercenary hired real killer hope assume power sheena ability talk animal knowledge jungle lore give chance high tech weapon mercenary,tanya roberts ted wass donovan scott elizabeth of toro france zobda,john guillermin
Underclassman,Action Comedy,Nick Cannon Roselyn Sánchez Shawn Ashmore Cheech Marin Kelly Hu,Marcos Siega,5.5,2.083856,A young detective goes undercover at an elite private school to destroy an international stolen car ring.,underclassman,young detective go undercover elite private school destroy international stolen car ring,nick cannon roselyn s nchez shawn ashmore cheech marin kelly hu,marcos siega
Say It Isn't So,Comedy Romance,Chris Klein Heather Graham Orlando Jones Sally Field Richard Jenkins,J.B. Rogers,4.8,2.909346,"Boy meets girl; boy falls in love (and had wild, non-stop sex) with girl; boy loses girl... when they discover they are brother and sister! But when he learns that he's the victim of the ultimate case of mistaken identity, the lovesick young man -- whom everyone still thinks is after some taboo thrills -- must race across the country to stop her from marrying another man.",say it isn t so,boy meet girl boy fall love wild non stop sex girl boy loses girl discover brother sister learns victim ultimate case mistaken identity lovesick young man everyone still think taboo thrill must race across country stop marrying another man,chris klein heather graham orlando jones sally field richard jenkins,j b  rogers
The World's Fastest Indian,Drama,Anthony Hopkins Iain Rea Tessa Mitchell Aaron Murphy Tim Shadbolt,Roger Donaldson,7.3,8.450513,"The life story of New Zealander Burt Munro, who spent years building a 1920 Indian motorcycle -- a bike which helped him set the land-speed world record at Utah's Bonneville Salt Flats in 1967.",the world s fastest indian,life story new zealander burt munro spent year building 1920 indian motorcycle bike helped set land speed world record utah bonneville salt flat 1967,anthony hopkins iain rea tessa mitchell aaron murphy tim shadbolt,roger donaldson
Tank Girl,Action Comedy Fantasy Science Fiction,Lori Petty Ice-T Naomi Watts Malcolm McDowell Iggy Pop,Rachel Talalay,5.5,8.186936,"Based on the British cult comic-strip, our tank-riding anti-heroine fights a mega-corporation, which controls the world's water supply.",tank girl,based british cult comic strip tank riding anti heroine fight mega corporation control world water supply,lori petty ice t naomi watts malcolm mcdowell iggy pop,rachel talalay
King's Ransom,Comedy Crime,Anthony Anderson Jay Mohr Kellita Smith Brooke D'Orsay Donald Faison,Jeffrey W. Byrd,5.1,5.079017,"Hoping to foil his own gold-digging wife's plan, a loathsome businessman arranges his own kidnapping, only to realize that there are plenty of other people interested in his wealth as well.",king s ransom,hoping foil gold digging wife plan loathsome businessman arranges kidnapping realize plenty people interested wealth well,anthony anderson jay mohr kellita smith brooke d orsay donald faison,jeffrey w  byrd
Blindness,Drama Mystery Science Fiction Thriller,Julianne Moore Mark Ruffalo Alice Braga Gael García Bernal Danny Glover,Fernando Meirelles,6.4,17.603823,"When a sudden plague of blindness devastates a city, a small group of the afflicted band together to triumphantly overcome the horrific conditions of their imposed quarantine.",blindness,sudden plague blindness devastates city small group afflicted band together triumphantly overcome horrific condition imposed quarantine,julianne moore mark ruffalo alice braga gael garc a bernal danny glover,fernando meirelles
BloodRayne,Action Adventure Fantasy Horror,Kristanna Loken Ben Kingsley Michelle Rodriguez Michael Madsen Matthew Davis,Uwe Boll,3.5,7.008216,"In eighteenth century Romania, Rayne, a dhampir (half-human, half-vampire), prone to fits of blind blood rage but saddled with a compunction for humans, strives to avenge her mother's rape by her father, Kagan, King of Vampires. Two vampire hunters, Sebastian and Vladimir, from the Brimstone Society persuade her to join their cause.",bloodrayne,eighteenth century romania rayne dhampir half human half vampire prone fit blind blood rage saddled compunction human strives avenge mother rape father kagan king vampire two vampire hunter sebastian vladimir brimstone society persuade join cause,kristanna loken ben kingsley michelle rodriguez michael madsen matthew davis,uwe boll
Carnage,Comedy Drama,Kate Winslet Jodie Foster Christoph Waltz John C. Reilly Elvis Polanski,Roman Polanski,7.0,20.011435,"After 11-year-old Zachary Cowan strikes his classmate across the face with a stick after an argument, the victim's parents invite Zachary's parents to their Brooklyn apartment to deal with the incident in a civilized manner.",carnage,11 year old zachary cowan strike classmate across face stick argument victim parent invite zachary parent brooklyn apartment deal incident civilized manner,kate winslet jodie foster christoph waltz john c  reilly elvis polanski,roman polanski
Where the Truth Lies,Drama Mystery Thriller,Kevin Bacon Colin Firth Alison Lohman David Hayman Rachel Blanchard,Atom Egoyan,5.9,4.051221,An ambitious reporter probes the reasons behind the sudden split of a 1950s comedy team.,where the truth lies,ambitious reporter probe reason behind sudden split 1950s comedy team,kevin bacon colin firth alison lohman david hayman rachel blanchard,atom egoyan
Cirque du Soleil: Worlds Away,Fantasy Family,Erica Linz Igor Zaripov Matt Gillanders Jason Berrent Dallas Barnett,Andrew Adamson,6.1,5.987486,"An original story featuring performances by Cirque du Soleil. A young woman is entranced by an Aerialist. When they fall into the dreamlike world of Cirque du Soleil and are separated, they travel through the different tent worlds trying to find each other.",cirque du soleil  worlds away,original story featuring performance cirque du soleil young woman entranced aerialist fall dreamlike world cirque du soleil separated travel different tent world trying find,erica linz igor zaripov matt gillanders jason berrent dallas barnett,andrew adamson
Without Limits,Drama,Billy Crudup Donald Sutherland Monica Potter Jeremy Sisto Matthew Lillard,Robert Towne,6.2,3.849873,"The film follows the life of famous 1970s runner Steve Prefontaine from his youth days in Oregon to the University of Oregon where he worked with the legendary coach Bill Bowerman, later to Olympics in Munich and his early death at 24 in a car crash.",without limits,film follows life famous 1970s runner steve prefontaine youth day oregon university oregon worked legendary coach bill bowerman later olympics munich early death 24 car crash,billy crudup donald sutherland monica potter jeremy sisto matthew lillard,robert towne
Me and Orson Welles,Comedy Drama Romance,Zac Efron Claire Danes Christian McKay Imogen Poots Zoe Kazan,Richard Linklater,6.6,3.593165,"New York, 1937. A teenager hired to star in Orson Welles' production of Julius Caesar becomes attracted to a career-driven production assistant.",me and orson welles,new york 1937 teenager hired star orson welles production julius caesar becomes attracted career driven production assistant,zac efron claire danes christian mckay imogen poots zoe kazan,richard linklater
The Best Offer,Drama Romance Crime Mystery,Geoffrey Rush Jim Sturgess Sylvia Hoeks Donald Sutherland Maximilian Dirr,Giuseppe Tornatore,7.7,30.058263,"Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her familyï¿½ï¿½ï¿½s priceless art collection, Virgil allows himself to form an attachment to her ï¿½ï¿½ï¿½ and soon he is engulfed by a passion which will rock his bland existence ",the best offer,virgil oldman world renowned antique expert auctioneer eccentric genius lead solitary life going extreme length keep distance messiness human relationship appointed beautiful emotionally damaged claire oversee valuation sale family priceless art collection virgil allows form attachment soon engulfed passion rock bland existence,geoffrey rush jim sturgess sylvia hoeks donald sutherland maximilian dirr,giuseppe tornatore
The Bad Lieutenant: Port of Call - New Orleans,Drama Crime,Nicolas Cage Eva Mendes Val Kilmer Fairuza Balk Shawn Hatosy,Werner Herzog,6.0,17.339852,"Terrence McDonagh, a New Orleans Police sergeant, who starts out as a good cop, receiving a medal and a promotion to lieutenant for heroism during Hurricane Katrina. During his heroic act, McDonagh injures his back and later becomes addicted to prescription pain medication. McDonagh finds himself involved with a drug dealer who is suspected of murdering a family of African immigrants.",the bad lieutenant  port of call   new orleans,terrence mcdonagh new orleans police sergeant start good cop receiving medal promotion lieutenant heroism hurricane katrina heroic act mcdonagh injures back later becomes addicted prescription pain medication mcdonagh find involved drug dealer suspected murdering family african immigrant,nicolas cage eva mendes val kilmer fairuza balk shawn hatosy,werner herzog
A Turtle's Tale: Sammy's Adventures,Animation Family,Yuri Lowenthal Gemma Arterton Isabelle Fuhrman Melanie Griffith Tim Curry,Ben Stassen,5.6,15.805449,"A sea turtle who was hatched in 1959 spends the next 50 years traveling the world while it is being changed by global warming. Born on a Baja, California beach in 1959, new hatchling Sammy must do what his fellow newborn sea turtles are doing: race across the beach to the ocean before they are captured by a seagull or crab. Thus begins Sammy's incredible fifty-year ocean journey. Along the way he meets his best friend, a fellow turtle named Ray, and overcomes obstacles both natural and man-made while trying to fulfill his dream of travelling around the world. Throughout his voyage, Sammy never forgets about Shelly - the turtle he saved on his first day and loves passionately from afar. Based on the actual trajectory of a sea turtle's life, the film illustrates the dangers humans pose to the species' survival. The film combines entertainment with an important environmental message.",a turtle s tale  sammy s adventures,sea turtle hatched 1959 spends next 50 year traveling world changed global warming born baja california beach 1959 new hatchling sammy must fellow newborn sea turtle race across beach ocean captured seagull crab thus begin sammy incredible fifty year ocean journey along way meet best friend fellow turtle named ray overcomes obstacle natural man made trying fulfill dream travelling around world throughout voyage sammy never forgets shelly turtle saved first day love passionately afar based actual trajectory sea turtle life film illustrates danger human pose specie survival film combine entertainment important environmental message,yuri lowenthal gemma arterton isabelle fuhrman melanie griffith tim curry,ben stassen
Little White Lies,Comedy Drama,François Cluzet Marion Cotillard Benoît Magimel Gilles Lellouche Jean Dujardin,Guillaume Canet,7.1,15.279021,"Despite a traumatic event, a group of friends decide to go ahead with their annual beach vacation. Their relationships, convictions, sense of guilt and friendship are sorely tested. They are finally forced to own up to the little white lies they've been telling each other.",little white lies,despite traumatic event group friend decide go ahead annual beach vacation relationship conviction sense guilt friendship sorely tested finally forced little white lie telling,fran ois cluzet marion cotillard beno t magimel gilles lellouche jean dujardin,guillaume canet
Love Ranch,Drama,Helen Mirren Joe Pesci Sergio Peris-Mencheta Gina Gershon Bai Ling,Taylor Hackford,6.0,5.000126,Story of a couple that starts the first legal brothel in Nevada and a boxer they own a piece of.,love ranch,story couple start first legal brothel nevada boxer piece,helen mirren joe pesci sergio peris mencheta gina gershon bai ling,taylor hackford
The True Story of Puss 'n Boots,Family Adventure Animation,Jérôme Deschamps Yolande Moreau Louise Wallon Arthur Deschamps Jean-Claude Bolle-Reddat,Jérôme Deschamps Pascal Hérold Macha Makeïeff,3.8,1.684948,"A free adaptation of Charles Perrault's famous Puss'n Boots, ""The True Story of Puss'n Boots"" is a story for young and old for the first time on cinema screens.",the true story of puss  n boots,free adaptation charles perrault famous pus n boot true story pus n boot story young old first time cinema screen,j r me deschamps yolande moreau louise wallon arthur deschamps jean claude bolle reddat,j r me deschamps pascal h rold macha make eff
